PMID,Title,Publication Date
22806510,The unacknowledged incidence of laparoscopic stapler malfunction.,"Jul, 2012"
22579259,Endoluminal bariatric techniques.,"May, 2012"
22381263,"Longitudinal stent deformation: insights on mechanisms, treatments and outcomes from the Food and Drug Administration Manufacturer and User Facility Device Experience database.","Mar, 2012"
22195143,Patient safety problems associated with heathcare information technology: an analysis of adverse events reported to the US Food and Drug Administration.,"Dec, 2011"
22143298,Does meningitis after cochlear implantation remain a concern in 2011?,"Dec, 2011"
22177811,Adverse events reported after the use of recombinant human bone morphogenetic protein 2.,"Dec, 2011"
22195199,Application of a temporal reasoning framework tool in analysis of medical device adverse events.,"Dec, 2011"
22095760,Disproportionality analysis for signal detection of implantable cardioverter-defibrillator-related adverse events in the Food and Drug Administration Medical Device Reporting System.,"Nov, 2011"
22044556,Global robotic experience and the type of surgical system impact the types of robotic malfunctions and their clinical consequences: an FDA MAUDE review.,"Nov, 2011"
21967534,Incidence and avoidance of neurologic complications with paddle type spinal cord stimulation leads.,"Oct, 2011"
22024114,Systematic review of the use of retrievable inferior vena cava filters.,"Oct, 2011"
21947552,Entrapment of the StarClose Vascular Closure System after attempted common femoral artery deployment.,"Sep, 2011"
21944871,Cardiac tamponade as a life-threatening complication in hernia repair.,"Sep, 2011"
21903979,Using FDA reports to inform a classification for health information technology safety problems.,"Sep, 2011"
21872969,Analysis of automated external defibrillator device failures reported to the Food and Drug Administration.,"Aug, 2011"
21777837,Adverse events due to suspected nickel hypersensitivity in patients with essure micro-inserts.,"Jul, 2011"
21762904,Enteral stents.,"Jul, 2011"
21704803,GI endoscopes.,"Jun, 2011"
21527468,Incomplete deployment of the Vena Tech LP filter--case series and concerns.,"Apr, 2011"
21303646,"Analysis of the performance of the CONTOUR® TS Blood Glucose Monitoring System: when regulatory performance criteria are met, should we have confidence to use a medical device with all patients?","Feb, 2011"
21282375,Relationship between drain volume/fill volume ratio and clinical outcomes associated with overfill complaints in peritoneal dialysis patients.,"Feb, 2011"
21237458,Computer-assisted personalized sedation.,"Jan, 2011"
21074791,Complications of stone baskets: 14-year review of the manufacturer and user facility device experience database.,"Nov, 2010"
20976748,Sterile radial artery granuloma after transradial procedures: a unique and avoidable complication.,"Oct, 2010"
20883844,Endoscopic tattooing.,"Oct, 2010"
20883843,Automated endoscope reprocessors.,"Oct, 2010"
20806458,Stent fracture in the coronary and peripheral arteries.,"Sep, 2010"
20513724,"A response to ""Major complications associated with xenograft biologic mesh implantation in abdominal wall reconstruction"" (Harth KC, Rosen MJ. Surg Innov. 2009;16:324-329) and discussion of the MAUDE (manufacturer and user facility device experience) database, FDA regulation of biologic implants, and evidence-based medicine.","Jun, 2010"
20537638,"Minimizing occupational hazards in endoscopy: personal protective equipment, radiation safety, and ergonomics.","Jun, 2010"
20541746,Enteral nutrition access devices.,"Jun, 2010"
20504796,Xenograft biologic mesh implantation in abdominal wall reconstruction and the FDA MAUDE database.,"May, 2010"
20381044,Interventional EUS.,"Apr, 2010"
20421100,The role of the U.S. Food and Drug Administration in device evaluation and monitoring.,"Apr, 2010"
20351227,Review of adverse events associated with false glucose readings measured by GDH-PQQ-based glucose test strips in the presence of interfering sugars.,"Mar, 2010"
20347546,Clinical relevance and treatment of carotid stent fractures.,"Mar, 2010"
19946113,Deaths and cardiovascular injuries due to device-assisted implantable cardioverter-defibrillator and pacemaker lead extraction.,"Dec, 2009"
19787394,ArteFill permanent injectable for soft tissue augmentation: I. Mechanism of action and injection techniques.,"Sep, 2009"
19614901,Indoor tanning injuries: an evaluation of FDA adverse event reporting data.,"Jul, 2009"
19595398,Drug-eluting stent fracture and acute coronary syndrome.,"Jul, 2009"
19530742,Patient-controlled analgesia-related medication errors in the postoperative period: causes and prevention.,"Jun, 2009"
19406458,Analysis of techniques to secure the renal hilum during laparoscopic donor nephrectomy: review of the FDA database.,"May, 2009"
19468005,Ambulance stretcher adverse events.,"May, 2009"
19464444,Analysis of the US Food and Drug Administration Manufacturer and User Facility Device Experience database for adverse events involving Amplatzer septal occluder devices and comparison with the Society of Thoracic Surgery congenital cardiac surgery database.,"May, 2009"
19322228,The NTI-tss device may be used successfully in the management of bruxism and TMD.,"Mar, 2009"
30172248,Medical Bioethics in Dermatologic Procedures.,"Mar, 2009"
18662411,"The NTI-tss device for the therapy of bruxism, temporomandibular disorders, and headache - where do we stand? A qualitative systematic review of the literature.","Jul, 2008"
18450857,Adolescent use of insulin and patient-controlled analgesia pump technology: a 10-year Food and Drug Administration retrospective study of adverse events.,"May, 2008"
18377477,Major complications associated with transcatheter atrial septal occluder implantation: a review of the medical literature and the manufacturer and user facility device experience (MAUDE) database.,"Apr, 2008"
18372034,Bladder neck contractures related to the use of Hem-o-lok clips in robot-assisted laparoscopic radical prostatectomy.,"Mar, 2008"
18323318,Epidural conduction device fractures and complications of retained fragments.,"Mar, 2008"
18312981,A comprehensive review of suburethral sling procedure complications.,"Mar, 2008"
18303506,Introduction to the MAUDE database.,"Feb, 2008"
18258157,Form and function of vena cava filters: how do optional filters measure up?,"Feb, 2008"
18304403,Device failures associated with patient injuries during robot-assisted laparoscopic surgeries: a comprehensive review of FDA MAUDE database.,"Feb, 2008"
18090097,Electrode migration after cochlear implantation.,"Dec, 2007"
17919695,Mechanisms of hemostatic failure during laparoscopic nephrectomy: review of Food and Drug Administration database.,"Oct, 2007"
17575537,Endotherapy and surgery for GERD.,"Aug, 2007"
17617499,Adverse events involving intravenous patient-controlled analgesia.,"Jul, 2007"
17630160,Endometrial ablation devices: review of a manufacturer and user facility device experience database.,"Jul, 2007"
17599673,Early failure of a small-diameter high-voltage implantable cardioverter-defibrillator lead.,"Jun, 2007"
17267869,Ethylene vinyl alcohol copolymer erosions after use as a urethral bulking agent.,"Feb, 2007"
17197707,"Severe, diffuse coronary artery spasm after drug-eluting stent placement.","Jan, 2007"
17206901,Reported failures of the polymer self-locking (Hem-o-lok) clip: review of data from the Food and Drug Administration.,"Jan, 2007"
17149713,Presentation and management of major complications of midurethral slings: Are complications under-reported?,"Dec, 2006"
17073570,Breast implant surveillance reports to the U.S. Food and Drug Administration: maternal-child health problems.,"Nov, 2006"
16769279,Emerging endoluminal therapies for gastroesophageal reflux disease: adverse events.,"Jun, 2006"
16568214,Complications associated with transobturator sling procedures.,"Mar, 2006"
16036187,Trocar-associated injuries and fatalities: an analysis of 1399 reports to the FDA.,"Jul, 2005"
15886342,Breast pump adverse events: reports to the food and drug administration.,"May, 2005"
15851191,Deaths associated with implantable cardioverter defibrillator failure and deactivation reported in the United States Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Apr, 2005"
15805456,Do split-side rails present an increased risk to patient safety?,"Apr, 2005"
15781766,Cochlear implant complications: utility of federal database in systematic analysis.,"Mar, 2005"
15781767,The utility of the MAUDE database in researching cochlear implantation complications.,"Mar, 2005"
15525737,Vertebral augmentation and the limits of interpreting complications reported in the food and drug administration manufacturer and user facility device experience database.,"Nov, 2004"
15525736,A review of complications associated with vertebroplasty and kyphoplasty as reported to the Food and Drug Administration medical device related web site.,"Nov, 2004"
15325606,Surgical stapler-associated fatalities and adverse events reported to the Food and Drug Administration.,"Aug, 2004"
15121577,Complications associated with global endometrial ablation: the utility of the MAUDE database.,"May, 2004"
15121575,Complications associated with global endometrial ablation: the utility of the MAUDE database.,"May, 2004"
14984183,Endovascular stents: market vigilance and risk factors.,"Feb, 2004"
14662215,Complications associated with global endometrial ablation: the utility of the MAUDE database.,"Dec, 2003"
12761003,A retained Racz catheter fragment after epidural neurolysis: implications during magnetic resonance imaging.,"May, 2003"
12701040,Intra-articular hyaluronans: a review of product-specific safety profiles.,"Apr, 2003"
12039109,Complications associated with optical-access laparoscopic trocars.,"Jun, 2002"
11475818,Unexpected ICD pulse generator failure due to electronic circuit damage caused by electrical overstress.,"Jul, 2001"
11243287,Impact of FDA advisory on reported vacuum-assisted delivery and morbidity.,"Mar, 2001"
10642409,Pulmonary artery rupture: serious complication associated with pulmonary artery catheters.,"Jan, 2000"
30801468,ACOG Committee Opinion No. 769 Summary: Reprocessed Single-Use Devices.,null
30801476,ACOG Committee Opinion No. 769: Reprocessed Single-Use Devices.,null
32217971,"Assessing and Adopting New Medical Devices for Obstetric and Gynecologic Care: ACOG Committee Opinion Summary, Number 801.",null
32217977,"Assessing and Adopting New Medical Devices for Obstetric and Gynecologic Care: ACOG Committee Opinion, Number 801.",null
34033344,Use and Application Of MAUDE In Patient Safety,null
21249841,"Evaluating and Predicting Patient Safety for Medical Devices with
Integral Information Technology",null
21249804,"Making Information Technology a Team Player in Safety: The Case
of Infusion Devices",null
